시간,규모,진앙(km),위도,경도,위치
2016-09-12 21:38:35,2.6,18,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-12 21:54:34,2.2,16,35.76,129.16,경북 경주시 남남서쪽 10km 지역
2016-09-12 21:54:53,2.1,12,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 22:06:22,2.1,16,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 22:08:25,2.0,18,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 22:13:14,2.4,17,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-12 22:17:35,2.5,15,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 22:18:36,2.0,17,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-12 22:22:50,2.2,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 22:23:27,2.4,17,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-12 22:47:13,2.1,13,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 23:18:27,3.0,17,35.76,129.17,경북 경주시 남남서쪽 8km 지역
2016-09-12 23:52:30,3.1,18,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-12 23:53:42,2.2,16,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-13 00:07:43,2.2,16,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-13 00:10:05,2.0,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 00:15:02,2.0,15,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 00:21:37,2.5,18,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-13 00:32:18,2.1,16,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-13 00:37:10,3.1,19,35.78,129.21,경북 경주시 남쪽 6km 지역
2016-09-13 00:45:50,2.2,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 01:03:39,2.0,17,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-09-13 01:23:56,2.2,17,35.75,129.19,경북 경주시 남남서쪽 10km 지역
2016-09-13 01:31:00,2.0,16,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-13 01:35:51,2.3,17,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2016-09-13 01:37:33,2.2,17,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-13 01:58:39,2.5,17,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-13 02:03:36,2.1,17,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-13 02:03:49,2.2,14,35.78,129.19,경북 경주시 남남서쪽 7km 지역
2016-09-13 02:09:35,2.0,17,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-13 03:11:21,2.1,17,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2016-09-13 04:13:31,2.1,16,35.78,129.19,경북 경주시 남남서쪽 7km 지역
2016-09-13 04:41:59,2.1,17,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-13 04:56:59,2.0,15,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-13 05:15:54,2.0,16,35.77,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 06:15:29,2.3,19,35.77,129.18,경북 경주시 남남서쪽 8km 지역
